Season,Age,Squad,Country,Comp,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
2004-2005,17,Barcelona,,1. Champions Lg,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
2004-2005,17,Barcelona,es ESP,1. La Liga,7,0,70,0.8,1,0,1,0,0,0,0,1.29,0.00,1.29,1.29,1.29,,,,,,,,,,Matches
2005-2006,18,Barcelona,,1. Champions Lg,6,4,322,3.6,1,1,1,0,0,0,0,0.28,0.28,0.56,0.28,0.56,,,,,,,,,,Matches
2005-2006,18,Barcelona,es ESP,1. La Liga,17,11,911,10.1,6,3,6,0,0,2,0,0.59,0.30,0.89,0.59,0.89,,,,,,,,,,Matches
2006-2007,19,Barcelona,,1. Champions Lg,5,4,385,4.3,1,0,1,0,0,1,0,0.23,0.00,0.23,0.23,0.23,,,,,,,,,,Matches
2006-2007,19,Barcelona,es ESP,1. La Liga,26,23,1983,22.0,14,3,14,0,0,2,0,0.64,0.14,0.77,0.64,0.77,,,,,,,,,,Matches
2007-2008,20,Barcelona,,1. Champions Lg,9,9,728,8.1,6,2,5,1,1,2,0,0.74,0.25,0.99,0.62,0.87,,,,,,,,,,Matches
2007-2008,20,Barcelona,es ESP,1. La Liga,27,23,1973,21.9,10,12,6,4,4,2,0,0.46,0.55,1.00,0.27,0.82,,,,,,,,,,Matches
2008-2009,21,Barcelona,,1. Champions Lg,12,10,927,10.3,9,5,9,0,0,1,0,0.87,0.49,1.36,0.87,1.36,,,,,,,,,,Matches
2008-2009,21,Barcelona,es ESP,1. La Liga,31,27,2516,28.0,23,11,20,3,4,2,0,0.82,0.39,1.22,0.72,1.11,,,,,,,,,,Matches
2009-2010,22,Barcelona,,1. Champions Lg,11,11,987,11.0,8,0,8,0,0,0,0,0.73,0.00,0.73,0.73,0.73,,,,,,,,,,Matches
2009-2010,22,Barcelona,es ESP,1. La Liga,35,30,2805,31.2,34,9,33,1,1,3,0,1.09,0.29,1.38,1.06,1.35,,,,,,,,,,Matches
2010-2011,23,Barcelona,,1. Champions Lg,13,11,1046,11.6,12,3,11,1,2,0,0,1.03,0.26,1.29,0.95,1.20,,,,,,,,,,Matches
2010-2011,23,Barcelona,es ESP,1. La Liga,33,31,2858,31.8,31,19,27,4,4,3,0,0.98,0.60,1.57,0.85,1.45,,,,,,,,,,Matches
2011-2012,24,Barcelona,,1. Champions Lg,11,11,990,11.0,14,5,10,4,5,2,0,1.27,0.45,1.73,0.91,1.36,,,,,,,,,,Matches
2011-2012,24,Barcelona,es ESP,1. La Liga,37,36,3270,36.3,50,16,40,10,11,6,0,1.38,0.44,1.82,1.10,1.54,,,,,,,,,,Matches
2012-2013,25,Barcelona,,1. Champions Lg,11,9,826,9.2,8,2,8,0,0,0,0,0.87,0.22,1.09,0.87,1.09,,,,,,,,,,Matches
2012-2013,25,Barcelona,es ESP,1. La Liga,32,28,2650,29.4,46,11,42,4,4,1,0,1.56,0.37,1.94,1.43,1.80,,,,,,,,,,Matches
2013-2014,26,Barcelona,,1. Champions Lg,7,7,630,7.0,8,0,6,2,2,0,0,1.14,0.00,1.14,0.86,0.86,,,,,,,,,,Matches
2013-2014,26,Barcelona,es ESP,1. La Liga,31,29,2501,27.8,28,11,21,7,8,2,0,1.01,0.40,1.40,0.76,1.15,,,,,,,,,,Matches
2014-2015,27,Barcelona,,1. Champions Lg,13,13,1147,12.7,10,6,10,0,1,1,0,0.78,0.47,1.26,0.78,1.26,,,,,,,,,,Matches
2014-2015,27,Barcelona,es ESP,Copa del Rey,6,6,540,6.0,5,3,4,1,2,1,0,0.83,0.50,1.33,0.67,1.17,,,,,,,,,,Matches
2014-2015,27,Barcelona,es ESP,1. La Liga,38,37,3375,37.5,43,18,38,5,6,4,0,1.15,0.48,1.63,1.01,1.49,,,,,,,,,,Matches
2015-2016,28,Barcelona,,1. Champions Lg,7,7,630,7.0,6,1,5,1,1,1,0,0.86,0.14,1.00,0.71,0.86,,,,,,,,,,Matches
2015-2016,28,Barcelona,es ESP,Copa del Rey,5,5,480,5.3,5,5,5,0,0,1,0,0.94,0.94,1.87,0.94,1.87,,,,,,,,,,Matches
2015-2016,28,Barcelona,es ESP,1. La Liga,33,31,2729,30.3,26,14,23,3,7,3,0,0.86,0.46,1.32,0.76,1.22,,,,,,,,,,Matches
2015-2016,28,Barcelona,,Super Cup,1,1,120,1.3,2,0,2,0,0,0,0,1.50,0.00,1.50,1.50,1.50,,,,,,,,,,Matches
2015-2016,28,Barcelona,es ESP,Supercopa de España,2,2,180,2.0,1,0,1,0,0,0,0,0.50,0.00,0.50,0.50,0.50,,,,,,,,,,Matches
2016-2017,29,Barcelona,,1. Champions Lg,9,9,810,9.0,11,2,9,2,2,0,0,1.22,0.22,1.44,1.00,1.22,,,,,,,,,,Matches
2016-2017,29,Barcelona,es ESP,Copa del Rey,7,7,630,7.0,5,3,4,1,1,3,0,0.71,0.43,1.14,0.57,1.00,,,,,,,,,,Matches
2016-2017,29,Barcelona,es ESP,1. La Liga,34,32,2830,31.4,37,9,31,6,7,6,0,1.18,0.29,1.46,0.99,1.27,,,,,,,,,,Matches
2016-2017,29,Barcelona,es ESP,Supercopa de España,2,2,180,2.0,1,2,1,0,0,0,0,0.50,1.00,1.50,0.50,1.50,,,,,,,,,,Matches
2017-2018,30,Barcelona,,1. Champions Lg,10,8,783,8.7,6,2,6,0,0,2,0,0.69,0.23,0.92,0.69,0.92,,,,,,,,,,Matches
2017-2018,30,Barcelona,es ESP,Copa del Rey,6,6,508,5.6,4,4,4,0,1,1,0,0.71,0.71,1.42,0.71,1.42,,,,,,,,,,Matches
2017-2018,30,Barcelona,es ESP,1. La Liga,36,32,3000,33.3,34,12,32,2,4,3,0,1.02,0.36,1.38,0.96,1.32,25.4,22.4,13.5,35.9,0.76,0.41,1.17,0.67,1.08,Matches
2017-2018,30,Barcelona,es ESP,Supercopa de España,2,2,180,2.0,1,,0,1,1,1,0,0.50,,,0.00,,,,,,,,,,,Matches
2018-2019,31,Barcelona,,1. Champions Lg,10,9,838,9.3,12,3,11,1,1,0,0,1.29,0.32,1.61,1.18,1.50,6.9,6.1,3.8,9.9,0.74,0.41,1.15,0.66,1.07,Matches
2018-2019,31,Barcelona,es ESP,Copa del Rey,5,4,388,4.3,3,2,3,0,0,0,0,0.70,0.46,1.16,0.70,1.16,,,,,,,,,,Matches
2018-2019,31,Barcelona,es ESP,1. La Liga,34,29,2713,30.1,36,13,32,4,5,3,0,1.19,0.43,1.63,1.06,1.49,23.4,19.7,13.6,33.3,0.78,0.45,1.23,0.65,1.10,Matches
2018-2019,31,Barcelona,es ESP,Supercopa de España,1,1,90,1.0,0,1,0,0,0,0,0,0.00,1.00,1.00,0.00,1.00,,,,,,,,,,Matches
2019-2020,32,Barcelona,,1. Champions Lg,8,7,662,7.4,3,3,3,0,0,2,0,0.41,0.41,0.82,0.41,0.82,3.8,3.8,2.9,6.6,0.51,0.39,0.90,0.51,0.90,Matches
2019-2020,32,Barcelona,es ESP,Copa del Rey,2,2,180,2.0,2,1,2,0,0,1,0,1.00,0.50,1.50,1.00,1.50,,,,,,,,,,Matches
2019-2020,32,Barcelona,es ESP,1. La Liga,33,32,2880,32.0,25,21,20,5,5,4,0,0.78,0.66,1.44,0.62,1.28,19.2,15.4,15.3,30.7,0.60,0.48,1.08,0.48,0.96,Matches
2019-2020,32,Barcelona,es ESP,Supercopa de España,1,1,90,1.0,1,0,1,0,0,0,0,1.00,0.00,1.00,1.00,1.00,,,,,,,,,,Matches
2020-2021,33,Barcelona,,1. Champions Lg,6,6,540,6.0,5,2,1,4,5,0,0,0.83,0.33,1.17,0.17,0.50,6.3,2.5,2.7,5.2,1.05,0.45,1.49,0.41,0.86,Matches
